Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
12; 14; 68; 46.111536; 55.000000; 68; 55.000000;
12; 8; 56; 14.886488; 17.283359; 56; 15.016349;
12; 16; 55; 46.653203; 48.164724; 55; 46.653203;
12; 10; 52; 47.922431; 46.622493; 52; 47.922431;
12; 15; 52; 18.830254; 18.569950; 52; 18.830254;
12; 1; 44; 45.862947; 46.125784; 44; 45.862947;
12; 18; 41; 18.256382; 19.139522; 41; 18.256382;
12; 2; 38; 39.336124; 36.392839; 38; 39.336124;
12; 12; 35; 47.128149; 45.801404; 35; 47.128149;
12; 11; 26; 46.164965; 47.854444; 26; 46.164965;
12; 17; 25; 17.539447; 18.612993; 25; 17.539447;
12; 7; 18; 16.335555; 15.993300; 18; 16.335555;
12; 13; 7; 15.269662; 17.183274; 7; 15.269662;



13; 5; 91; 8.795256; 13.511726; 91; 13.511726;
13; 0; 88; 5.864393; 13.210569; 88; 13.210569;
13; 19; 78; 45.050383; 48.143409; 78; 48.143409;
13; 3; 76; 18.448203; 21.000000; 76; 21.000000;
13; 6; 72; 9.778776; 12.545666; 72; 12.545666;
13; 9; 71; 48.461492; 49.062593; 71; 49.062593;
13; 4; 71; 5.864393; 13.210569; 71; 13.210569;
13; 14; 68; 45.687570; 55.000000; 68; 55.000000;
13; 8; 56; 18.711784; 15.016349; 56; 18.711784;
13; 16; 55; 45.893346; 46.653203; 55; 46.653203;
13; 10; 52; 48.084343; 47.922431; 52; 48.084343;
13; 15; 52; 17.450396; 18.830254; 52; 17.804831;
13; 1; 44; 45.820353; 45.862947; 44; 45.820353;
13; 18; 41; 17.536681; 18.256382; 41; 17.536681;
13; 2; 38; 39.418516; 39.336124; 38; 39.418516;
13; 12; 35; 44.295756; 47.128149; 35; 44.295756;
13; 11; 26; 46.393239; 46.164965; 26; 46.393239;
13; 17; 25; 17.302946; 17.539447; 25; 17.302946;
13; 7; 18; 16.376948; 16.335555; 18; 16.376948;
13; 13; 7; 15.916868; 15.269662; 7; 15.916868;



14; 5; 91; 11.402129; 13.511726; 91; 13.511726;
14; 0; 88; 4.282336; 13.210569; 88; 13.210569;
14; 19; 78; 47.320621; 48.143409; 78; 48.143409;
14; 3; 76; 18.933370; 21.000000; 76; 21.000000;
14; 6; 72; 8.172710; 12.545666; 72; 12.545666;
14; 9; 71; 48.590048; 49.062593; 71; 49.062593;
14; 4; 71; 4.282336; 13.210569; 71; 13.210569;
14; 14; 68; 45.551016; 55.000000; 68; 55.000000;
14; 8; 56; 15.390541; 18.711784; 56; 17.520848;
14; 16; 55; 46.355806; 46.653203; 55; 46.355806;
14; 10; 52; 46.424084; 48.084343; 52; 46.424084;
14; 15; 52; 18.585348; 17.804831; 52; 18.585348;
14; 1; 44; 45.481608; 45.820353; 44; 45.481608;
14; 18; 41; 18.911797; 17.536681; 41; 18.911797;
14; 2; 38; 38.643910; 39.418516; 38; 38.643910;
14; 12; 35; 46.011755; 44.295756; 35; 46.011755;
14; 11; 26; 46.032366; 46.393239; 26; 46.032366;
14; 17; 25; 17.601594; 17.302946; 25; 17.601594;
14; 7; 18; 17.358094; 16.376948; 18; 17.358094;
14; 13; 7; 15.388258; 15.916868; 7; 15.388258;



15; 5; 91; 9.394559; 13.511726; 91; 13.511726;
15; 0; 88; 6.530207; 13.210569; 88; 13.210569;
15; 19; 78; 46.344878; 48.143409; 78; 48.143409;
15; 3; 76; 17.555657; 21.000000; 76; 21.000000;
15; 6; 72; 9.366009; 12.545666; 72; 12.545666;
15; 9; 71; 48.863551; 49.062593; 71; 49.062593;
15; 4; 71; 6.530207; 13.210569; 71; 13.210569;
15; 14; 68; 45.286701; 55.000000; 68; 55.000000;
15; 8; 56; 15.473069; 17.520848; 56; 17.011322;
15; 16; 55; 46.107003; 46.355806; 55; 46.107003;
15; 10; 52; 46.976188; 46.424084; 52; 46.976188;
15; 15; 52; 19.154758; 18.585348; 52; 19.154758;
15; 1; 44; 47.028397; 45.481608; 44; 47.028397;
15; 18; 41; 18.369008; 18.911797; 41; 18.369008;
15; 2; 38; 36.399720; 38.643910; 38; 36.399720;
15; 12; 35; 46.000608; 46.011755; 35; 46.000608;
15; 11; 26; 46.449953; 46.032366; 26; 46.449953;
15; 17; 25; 18.242275; 17.601594; 25; 18.242275;
15; 7; 18; 16.831432; 17.358094; 18; 16.831432;
15; 13; 7; 15.744804; 15.388258; 7; 15.744804;



16; 5; 91; 7.913949; 13.511726; 91; 13.511726;
16; 0; 88; 3.125979; 13.210569; 88; 13.210569;
16; 19; 78; 46.447387; 48.143409; 78; 48.143409;
16; 3; 76; 17.413895; 21.000000; 76; 21.000000;
16; 6; 72; 3.814575; 12.545666; 72; 12.545666;
16; 9; 71; 48.673410; 49.062593; 71; 49.062593;
16; 4; 71; 3.125979; 13.210569; 71; 13.210569;
16; 14; 68; 45.648130; 55.000000; 68; 55.000000;
16; 8; 56; 17.187739; 17.011322; 56; 17.187739;
16; 16; 55; 45.914892; 46.107003; 55; 46.107003;
