Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
2; 96; 132.000000; 506.000000; 96; 132.000000;
17; 95; 210.000000; 231.000000; 95; 210.000000;
1; 76; 284.000000; 423.000000; 76; 284.000000;
7; 74; 506.000000; 380.000000; 74; 506.000000;
4; 63; 236.000000; 114.000000; 63; 236.000000;
19; 56; 423.000000; 37.000000; 56; 423.000000;
6; 55; 37.000000; 564.000000; 55; 37.000000;
9; 49; 325.000000; 142.492308; 19; 325.000000;
13; 48; 25.000000; 148.969231; 13; 25.000000;
10; 45; 231.000000; 236.000000; 45; 231.000000;
15; 44; 106.000000; 130.000000; 44; 106.000000;
18; 42; 114.000000; 106.000000; 42; 114.000000;
14; 36; 564.000000; 122.000000; 36; 564.000000;
16; 35; 539.000000; 132.000000; 35; 539.000000;
5; 33; 380.000000; 25.000000; 33; 380.000000;
0; 26; 555.000000; 210.000000; 26; 555.000000;
12; 20; 130.000000; 539.000000; 20; 130.000000;
8; 20; 591.000000; 125.000000; 27; 223.404255;
11; 18; 125.000000; 555.000000; 18; 125.000000;
3; 9; 122.000000; 591.000000; 9; 122.000000;



2; 96; 582.000000; 132.000000; 96; 582.000000;
17; 95; 46.000000; 210.000000; 95; 46.000000;
1; 76; 535.000000; 284.000000; 76; 535.000000;
7; 74; 282.000000; 506.000000; 74; 282.000000;
4; 63; 44.000000; 236.000000; 63; 44.000000;
19; 56; 545.000000; 423.000000; 56; 545.000000;
6; 55; 341.000000; 37.000000; 55; 341.000000;
10; 45; 327.000000; 231.000000; 45; 327.000000;
15; 44; 264.000000; 106.000000; 44; 264.000000;
18; 42; 292.000000; 114.000000; 42; 292.000000;
14; 36; 480.000000; 564.000000; 36; 480.000000;
16; 35; 242.000000; 539.000000; 35; 242.000000;
5; 33; 43.000000; 380.000000; 33; 43.000000;
8; 27; 197.000000; 223.404255; 20; 197.000000;
0; 26; 544.000000; 555.000000; 26; 544.000000;
12; 20; 426.000000; 130.000000; 26; 141.265823;
9; 19; 330.000000; 325.000000; 26; 134.202532;
11; 18; 11.000000; 125.000000; 18; 11.000000;
13; 13; 241.000000; 25.000000; 24; 207.962025;
3; 9; 55.000000; 122.000000; 9; 55.000000;



2; 96; 582.000000; 582.000000; 96; 582.000000;
17; 95; 46.000000; 46.000000; 95; 46.000000;
