Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
2; 59; 350.000000; 350.000000; 59; 350.000000;
0; 59; 478.000000; 259.000000; 59; 478.000000;
4; 50; 107.000000; 478.000000; 50; 107.000000;
13; 45; 338.000000; 338.000000; 45; 338.000000;
10; 45; 384.000000; 107.000000; 45; 384.000000;
19; 40; 150.000000; 150.000000; 40; 150.000000;
1; 33; 14.000000; 459.377778; 17; 14.000000;
8; 24; 219.000000; 14.000000; 24; 219.000000;
3; 20; 369.000000; 216.177778; 7; 369.000000;
6; 17; 407.000000; 270.222222; 53; 315.223881;
12; 15; 524.000000; 407.000000; 22; 277.388060;
17; 15; 482.000000; 270.222222; 37; 277.388060;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 219.000000; 76.000000; 82; 219.000000;
14; 81; 76.000000; 217.000000; 81; 76.000000;
18; 76; 217.000000; 90.000000; 76; 217.000000;
11; 74; 90.000000; 141.000000; 74; 90.000000;
16; 65; 141.000000; 259.000000; 65; 141.000000;
2; 59; 259.000000; 350.000000; 59; 259.000000;
0; 59; 350.000000; 478.000000; 59; 350.000000;
6; 53; 482.000000; 315.223881; 10; 482.000000;
4; 50; 478.000000; 107.000000; 50; 478.000000;
10; 45; 338.000000; 384.000000; 45; 338.000000;
13; 45; 107.000000; 338.000000; 45; 107.000000;
19; 40; 384.000000; 150.000000; 40; 384.000000;
17; 37; 369.000000; 277.388060; 10; 369.000000;
8; 24; 524.000000; 219.000000; 32; 189.257143;
12; 22; 407.000000; 277.388060; 44; 173.485714;
1; 17; 150.000000; 14.000000; 32; 134.057143;
3; 7; 14.000000; 369.000000; 7; 14.000000;



7; 98; 449.000000; 449.000000; 98; 449.000000;
9; 97; 196.000000; 196.000000; 97; 196.000000;
15; 96; 459.000000; 459.000000; 96; 459.000000;
5; 82; 219.000000; 219.000000; 82; 219.000000;
14; 81; 76.000000; 76.000000; 81; 76.000000;
18; 76; 217.000000; 217.000000; 76; 217.000000;
11; 74; 90.000000; 90.000000; 74; 90.000000;
16; 65; 141.000000; 141.000000; 65; 141.000000;
2; 59; 259.000000; 259.000000; 59; 259.000000;
0; 59; 350.000000; 350.000000; 59; 350.000000;
4; 50; 107.000000; 478.000000; 50; 107.000000;
10; 45; 338.000000; 338.000000; 45; 338.000000;
13; 45; 384.000000; 107.000000; 45; 384.000000;
12; 44; 482.000000; 173.485714; 15; 482.000000;
19; 40; 150.000000; 384.000000; 40; 150.000000;
8; 32; 14.000000; 189.257143; 24; 14.000000;
1; 32; 407.000000; 134.057143; 17; 407.000000;
17; 10; 524.000000; 369.000000; 19; 472.152542;
6; 10; 478.000000; 482.000000; 14; 209.322034;
3; 7; 369.000000; 14.000000; 9; 146.525424;



