Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
2; 41; 413.000000; 271.000000; 41; 413.000000;
3; 37; 25.000000; 413.000000; 37; 25.000000;
17; 35; 101.000000; 25.000000; 35; 101.000000;
15; 33; 300.000000; 101.000000; 33; 300.000000;
14; 26; 202.000000; 7.000000; 26; 202.000000;
16; 15; 572.000000; 55.581395; 2304; 50.192308;
0; 11; 7.000000; 572.000000; 11; 7.000000;



16; 2304; 372.000000; 50.192308; 5; 372.000000;
10; 96; 112.000000; 112.000000; 96; 112.000000;
18; 94; 453.000000; 453.000000; 94; 453.000000;
6; 91; 11.000000; 11.000000; 91; 11.000000;
7; 90; 502.000000; 502.000000; 90; 502.000000;
8; 86; 82.000000; 82.000000; 86; 82.000000;
5; 86; 450.000000; 450.000000; 86; 450.000000;
1; 82; 300.000000; 166.000000; 82; 300.000000;
19; 76; 166.000000; 541.000000; 76; 166.000000;
12; 65; 202.000000; 96.000000; 65; 202.000000;
11; 47; 96.000000; 37.000000; 47; 96.000000;
9; 43; 271.000000; 271.000000; 43; 271.000000;
2; 41; 413.000000; 413.000000; 41; 413.000000;
3; 37; 25.000000; 25.000000; 37; 25.000000;
17; 35; 101.000000; 101.000000; 35; 101.000000;
15; 33; 7.000000; 300.000000; 33; 7.000000;
14; 26; 486.000000; 202.000000; 26; 486.000000;
4; 25; 541.000000; 486.000000; 25; 541.000000;
13; 13; 37.000000; 372.000000; 13; 37.000000;
0; 11; 572.000000; 7.000000; 89; 80.000000;



10; 96; 453.000000; 112.000000; 96; 453.000000;
18; 94; 11.000000; 453.000000; 94; 11.000000;
6; 91; 502.000000; 11.000000; 91; 502.000000;
7; 90; 450.000000; 502.000000; 90; 450.000000;
0; 89; 572.000000; 80.000000; 11; 572.000000;
5; 86; 300.000000; 450.000000; 86; 300.000000;
8; 86; 82.000000; 82.000000; 86; 82.000000;
1; 82; 166.000000; 300.000000; 82; 166.000000;
19; 76; 541.000000; 166.000000; 76; 541.000000;
12; 65; 202.000000; 202.000000; 65; 202.000000;
11; 47; 96.000000; 96.000000; 47; 96.000000;
9; 43; 37.000000; 271.000000; 43; 37.000000;
2; 41; 271.000000; 413.000000; 41; 271.000000;
3; 37; 413.000000; 25.000000; 107; 217.747126;
17; 35; 25.000000; 101.000000; 35; 25.000000;
15; 33; 101.000000; 7.000000; 33; 101.000000;
14; 26; 7.000000; 486.000000; 26; 7.000000;
4; 25; 486.000000; 541.000000; 25; 486.000000;
13; 13; 372.000000; 37.000000; 43; 157.827586;
16; 5; 112.000000; 372.000000; 24; 29.425287;



3; 107; 413.000000; 217.747126; 37; 413.000000;
10; 96; 112.000000; 453.000000; 96; 112.000000;
18; 94; 453.000000; 11.000000; 94; 453.000000;
6; 91; 11.000000; 502.000000; 91; 11.000000;
7; 90; 502.000000; 450.000000; 90; 502.000000;
8; 86; 300.000000; 82.000000; 86; 300.000000;
5; 86; 82.000000; 300.000000; 86; 82.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
19; 76; 541.000000; 541.000000; 76; 541.000000;
12; 65; 202.000000; 202.000000; 65; 202.000000;
11; 47; 96.000000; 96.000000; 47; 96.000000;
9; 43; 37.000000; 37.000000; 43; 37.000000;
13; 43; 372.000000; 157.827586; 13; 372.000000;
2; 41; 271.000000; 271.000000; 41; 271.000000;
17; 35; 25.000000; 25.000000; 35; 25.000000;
15; 33; 101.000000; 101.000000; 33; 101.000000;
14; 26; 7.000000; 7.000000; 26; 7.000000;
4; 25; 486.000000; 486.000000; 25; 486.000000;
16; 24; 572.000000; 29.425287; 158; 363.428571;
0; 11; 450.000000; 572.000000; 40; 166.571429;



16; 158; 372.000000; 363.428571; 5; 372.000000;
10; 96; 453.000000; 112.000000; 96; 453.000000;
18; 94; 11.000000; 453.000000; 94; 11.000000;
6; 91; 502.000000; 11.000000; 91; 502.000000;
7; 90; 450.000000; 502.000000; 90; 450.000000;
5; 86; 300.000000; 82.000000; 86; 300.000000;
8; 86; 82.000000; 300.000000; 86; 82.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
19; 76; 541.000000; 541.000000; 76; 541.000000;
12; 65; 202.000000; 202.000000; 65; 202.000000;
11; 47; 96.000000; 96.000000; 47; 96.000000;
9; 43; 37.000000; 37.000000; 43; 37.000000;
2; 41; 413.000000; 271.000000; 110; 245.180000;
0; 40; 572.000000; 166.571429; 460; 239.200000;
3; 37; 112.000000; 413.000000; 37; 112.000000;
17; 35; 25.000000; 25.000000; 35; 25.000000;
15; 33; 101.000000; 101.000000; 33; 101.000000;
14; 26; 7.000000; 7.000000; 26; 7.000000;
4; 25; 486.000000; 486.000000; 25; 486.000000;
13; 13; 271.000000; 372.000000; 13; 271.000000;



0; 460; 413.000000; 239.200000; 11; 413.000000;
2; 110; 271.000000; 245.180000; 41; 271.000000;
10; 96; 453.000000; 453.000000; 96; 453.000000;
18; 94; 11.000000; 11.000000; 94; 11.000000;
6; 91; 502.000000; 502.000000; 91; 502.000000;
7; 90; 450.000000; 450.000000; 90; 450.000000;
5; 86; 82.000000; 300.000000; 86; 82.000000;
8; 86; 300.000000; 82.000000; 86; 300.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
19; 76; 541.000000; 541.000000; 76; 541.000000;
12; 65; 202.000000; 202.000000; 65; 202.000000;
11; 47; 96.000000; 96.000000; 47; 96.000000;
9; 43; 37.000000; 37.000000; 43; 37.000000;
3; 37; 25.000000; 112.000000; 37; 25.000000;
17; 35; 101.000000; 25.000000; 35; 101.000000;
15; 33; 7.000000; 101.000000; 33; 7.000000;
14; 26; 486.000000; 7.000000; 57; 395.652174;
4; 25; 372.000000; 486.000000; 25; 372.000000;
13; 13; 572.000000; 271.000000; 49; 206.260870;
16; 5; 112.000000; 372.000000; 12; 76.086957;



10; 96; 11.000000; 453.000000; 96; 11.000000;
18; 94; 502.000000; 11.000000; 94; 502.000000;
6; 91; 450.000000; 502.000000; 91; 450.000000;
7; 90; 82.000000; 450.000000; 90; 82.000000;
5; 86; 300.000000; 82.000000; 86; 300.000000;
8; 86; 166.000000; 300.000000; 86; 166.000000;
1; 82; 541.000000; 166.000000; 82; 541.000000;
19; 76; 202.000000; 541.000000; 76; 202.000000;
12; 65; 96.000000; 202.000000; 65; 96.000000;
14; 57; 7.000000; 395.652174; 26; 7.000000;
13; 49; 372.000000; 206.260870; 13; 372.000000;
11; 47; 37.000000; 96.000000; 47; 37.000000;
9; 43; 271.000000; 37.000000; 43; 271.000000;
2; 41; 453.000000; 271.000000; 41; 453.000000;
3; 37; 413.000000; 25.000000; 37; 413.000000;
17; 35; 25.000000; 101.000000; 35; 25.000000;
15; 33; 101.000000; 7.000000; 33; 101.000000;
4; 25; 486.000000; 372.000000; 25; 486.000000;
16; 12; 572.000000; 76.086957; 540; 100.173913;
0; 11; 112.000000; 413.000000; 24; 91.826087;



16; 540; 372.000000; 100.173913; 5; 372.000000;
10; 96; 112.000000; 11.000000; 96; 112.000000;
18; 94; 453.000000; 502.000000; 94; 453.000000;
6; 91; 11.000000; 450.000000; 91; 11.000000;
7; 90; 502.000000; 82.000000; 90; 502.000000;
8; 86; 82.000000; 166.000000; 86; 82.000000;
5; 86; 450.000000; 300.000000; 86; 450.000000;
1; 82; 300.000000; 541.000000; 82; 300.000000;
19; 76; 166.000000; 202.000000; 76; 166.000000;
12; 65; 541.000000; 96.000000; 65; 541.000000;
11; 47; 37.000000; 37.000000; 47; 37.000000;
9; 43; 271.000000; 271.000000; 43; 271.000000;
2; 41; 413.000000; 453.000000; 41; 413.000000;
3; 37; 25.000000; 413.000000; 37; 25.000000;
17; 35; 101.000000; 25.000000; 35; 101.000000;
15; 33; 7.000000; 101.000000; 33; 7.000000;
14; 26; 202.000000; 7.000000; 26; 202.000000;
4; 25; 486.000000; 486.000000; 65; 298.727273;
0; 24; 572.000000; 91.826087; 281; 235.636364;
13; 13; 96.000000; 372.000000; 13; 96.000000;



0; 281; 372.000000; 235.636364; 11; 372.000000;
10; 96; 453.000000; 112.000000; 96; 453.000000;
18; 94; 11.000000; 453.000000; 94; 11.000000;
6; 91; 502.000000; 11.000000; 91; 502.000000;
7; 90; 450.000000; 502.000000; 90; 450.000000;
5; 86; 300.000000; 450.000000; 86; 300.000000;
8; 86; 82.000000; 82.000000; 86; 82.000000;
1; 82; 166.000000; 300.000000; 82; 166.000000;
19; 76; 541.000000; 166.000000; 76; 541.000000;
4; 65; 486.000000; 298.727273; 25; 486.000000;
12; 65; 202.000000; 541.000000; 65; 202.000000;
11; 47; 96.000000; 37.000000; 47; 96.000000;
9; 43; 37.000000; 271.000000; 43; 37.000000;
2; 41; 271.000000; 413.000000; 41; 271.000000;
3; 37; 413.000000; 25.000000; 37; 413.000000;
17; 35; 25.000000; 101.000000; 35; 25.000000;
15; 33; 101.000000; 7.000000; 33; 101.000000;
14; 26; 7.000000; 202.000000; 26; 7.000000;
13; 13; 572.000000; 96.000000; 56; 172.519481;
16; 5; 112.000000; 372.000000; 33; 19.480519;



10; 96; 453.000000; 453.000000; 96; 453.000000;
18; 94; 11.000000; 11.000000; 94; 11.000000;
6; 91; 502.000000; 502.000000; 91; 502.000000;
7; 90; 450.000000; 450.000000; 90; 450.000000;
5; 86; 82.000000; 300.000000; 86; 82.000000;
8; 86; 300.000000; 82.000000; 86; 300.000000;
1; 82; 166.000000; 166.000000; 82; 166.000000;
19; 76; 541.000000; 541.000000; 76; 541.000000;
12; 65; 96.000000; 202.000000; 65; 96.000000;
13; 56; 372.000000; 172.519481; 13; 372.000000;
11; 47; 37.000000; 96.000000; 47; 37.000000;
9; 43; 271.000000; 37.000000; 43; 271.000000;
2; 41; 413.000000; 271.000000; 41; 413.000000;
3; 37; 25.000000; 413.000000; 37; 25.000000;
17; 35; 101.000000; 25.000000; 35; 101.000000;
15; 33; 7.000000; 101.000000; 33; 7.000000;
16; 33; 572.000000; 19.480519; 272; 305.684211;
14; 26; 486.000000; 7.000000; 78; 240.842105;
4; 25; 202.000000; 486.000000; 25; 202.000000;
0; 11; 112.000000; 372.000000; 11; 112.000000;



16; 272; 7.000000; 305.684211; 5; 7.000000;
10; 96; 112.000000; 453.000000; 96; 112.000000;
18; 94; 453.000000; 11.000000; 94; 453.000000;
6; 91; 11.000000; 502.000000; 91; 11.000000;
7; 90; 502.000000; 450.000000; 90; 502.000000;
8; 86; 82.000000; 300.000000; 86; 82.000000;
5; 86; 450.000000; 82.000000; 86; 450.000000;
1; 82; 300.000000; 166.000000; 82; 300.000000;
14; 78; 486.000000; 240.842105; 26; 486.000000;
19; 76; 166.000000; 541.000000; 76; 166.000000;
12; 65; 541.000000; 96.000000; 65; 541.000000;
11; 47; 96.000000; 37.000000; 47; 96.000000;
9; 43; 37.000000; 271.000000; 43; 37.000000;
2; 41; 271.000000; 413.000000; 41; 271.000000;
3; 37; 413.000000; 25.000000; 37; 413.000000;
17; 35; 25.000000; 101.000000; 35; 25.000000;
15; 33; 101.000000; 7.000000; 33; 101.000000;
4; 25; 372.000000; 202.000000; 52; 333.673469;
13; 13; 202.000000; 372.000000; 28; 173.510204;
0; 11; 572.000000; 112.000000; 53; 146.816327;



10; 96; 453.000000; 112.000000; 96; 453.000000;
18; 94; 11.000000; 453.000000; 94; 11.000000;
6; 91; 502.000000; 11.000000; 91; 502.000000;
7; 90; 450.000000; 502.000000; 90; 450.000000;
8; 86; 82.000000; 82.000000; 86; 82.000000;
5; 86; 300.000000; 450.000000; 86; 300.000000;
1; 82; 166.000000; 300.000000; 82; 166.000000;
19; 76; 202.000000; 166.000000; 76; 202.000000;
12; 65; 96.000000; 541.000000; 65; 96.000000;
0; 53; 572.000000; 146.816327; 11; 572.000000;
4; 52; 486.000000; 333.673469; 25; 486.000000;
11; 47; 37.000000; 96.000000; 47; 37.000000;
9; 43; 271.000000; 37.000000; 43; 271.000000;
