Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
8; 11; 88; 45.686555; 47.289818; 88; 47.289818;
8; 10; 80; 46.056332; 46.622493; 80; 46.622493;
8; 15; 76; 16.791617; 19.055508; 76; 19.055508;
8; 5; 64; 13.070223; 13.511726; 64; 13.511726;
8; 8; 60; 14.811117; 16.731394; 60; 16.731394;
8; 17; 55; 18.448275; 19.711780; 55; 19.711780;
8; 7; 46; 15.892295; 17.533307; 46; 17.533307;
8; 12; 40; 46.186832; 47.885726; 40; 47.885726;
8; 1; 39; 44.980899; 46.044836; 39; 46.044836;
8; 14; 35; 45.233228; 48.043459; 35; 48.043459;
8; 18; 34; 17.593950; 19.352776; 34; 19.352776;
8; 13; 34; 17.474671; 16.797053; 34; 17.474671;
8; 0; 33; 7.048983; 11.496260; 33; 11.496260;
8; 4; 32; 7.048983; 11.496260; 32; 11.496260;
8; 9; 9; 48.359814; 48.899812; 9; 48.899812;



9; 3; 97; 18.583631; 19.091818; 97; 19.091818;
9; 19; 95; 47.172593; 48.143409; 95; 48.143409;
9; 16; 94; 45.444179; 48.164724; 94; 48.164724;
9; 2; 94; 39.839022; 40.577706; 94; 40.577706;
9; 6; 90; 4.676748; 12.545666; 90; 12.545666;
9; 11; 88; 46.186446; 47.289818; 88; 47.289818;
9; 10; 80; 46.048314; 46.622493; 80; 46.622493;
9; 15; 76; 16.686569; 19.055508; 76; 19.055508;
9; 5; 64; 10.870760; 13.511726; 64; 13.511726;
9; 8; 60; 16.183417; 16.731394; 60; 16.731394;
9; 17; 55; 17.524277; 19.711780; 55; 19.711780;
9; 7; 46; 15.564417; 17.533307; 46; 17.533307;
9; 12; 40; 46.072901; 47.885726; 40; 47.885726;
9; 1; 39; 46.061980; 46.044836; 39; 46.061980;
9; 14; 35; 45.754581; 48.043459; 35; 48.043459;
9; 18; 34; 17.937249; 19.352776; 34; 19.352776;
9; 13; 34; 14.841060; 17.474671; 34; 17.474671;
9; 0; 33; 3.747117; 11.496260; 33; 11.496260;
9; 4; 32; 3.747117; 11.496260; 32; 11.496260;
9; 9; 9; 49.062593; 48.899812; 9; 49.062593;



10; 3; 97; 17.980495; 19.091818; 97; 19.091818;
10; 19; 95; 45.257076; 48.143409; 95; 48.143409;
10; 16; 94; 47.065069; 48.164724; 94; 48.164724;
10; 2; 94; 37.464381; 40.577706; 94; 40.577706;
10; 6; 90; 4.186816; 12.545666; 90; 12.545666;
10; 11; 88; 45.574204; 47.289818; 88; 47.289818;
10; 10; 80; 46.180806; 46.622493; 80; 46.622493;
10; 15; 76; 18.037996; 19.055508; 76; 19.055508;
10; 5; 64; 10.201951; 13.511726; 64; 13.511726;
10; 8; 60; 17.283359; 16.731394; 60; 17.283359;
10; 17; 55; 17.776441; 19.711780; 55; 19.711780;
10; 7; 46; 14.589363; 17.533307; 46; 17.533307;
10; 12; 40; 45.415791; 47.885726; 40; 47.885726;
10; 1; 39; 46.125784; 46.061980; 39; 46.125784;
10; 14; 35; 45.880645; 48.043459; 35; 48.043459;
10; 18; 34; 19.357962; 19.352776; 34; 19.357962;
10; 13; 34; 16.355117; 17.474671; 34; 17.474671;
10; 0; 33; 3.540586; 11.496260; 33; 11.496260;
10; 4; 32; 3.540586; 11.496260; 32; 11.388078;
10; 9; 9; 48.696746; 49.062593; 9; 48.696746;



11; 3; 97; 16.625064; 19.091818; 97; 19.091818;
11; 19; 95; 46.522807; 48.143409; 95; 48.143409;
11; 16; 94; 45.841202; 48.164724; 94; 48.164724;
11; 2; 94; 36.392839; 40.577706; 94; 40.577706;
11; 6; 90; 6.555161; 12.545666; 90; 12.545666;
11; 11; 88; 47.854444; 47.289818; 88; 47.854444;
11; 10; 80; 45.858723; 46.622493; 80; 46.622493;
11; 15; 76; 17.041343; 19.055508; 76; 19.055508;
11; 5; 64; 10.310214; 13.511726; 64; 13.511726;
11; 8; 60; 15.650672; 17.283359; 60; 17.283359;
11; 17; 55; 18.612993; 19.711780; 55; 19.711780;
11; 7; 46; 15.993300; 17.533307; 46; 17.533307;
11; 12; 40; 45.801404; 47.885726; 40; 47.885726;
11; 1; 39; 46.042504; 46.125784; 39; 46.125784;
11; 14; 35; 48.147172; 48.043459; 35; 48.147172;
11; 18; 34; 19.081739; 19.357962; 34; 19.357962;
11; 13; 34; 17.183274; 17.474671; 34; 17.474671;
11; 0; 33; 11.019257; 11.496260; 33; 11.395423;
11; 4; 32; 11.019257; 11.388078; 32; 11.019257;
11; 9; 9; 48.498065; 48.696746; 9; 48.498065;



12; 3; 97; 19.091891; 19.091818; 97; 19.091891;
12; 19; 95; 45.420597; 48.143409; 95; 48.143409;
12; 16; 94; 46.653203; 48.164724; 94; 48.164724;
12; 2; 94; 39.336124; 40.577706; 94; 40.577706;
12; 6; 90; 8.331456; 12.545666; 90; 12.545666;
12; 11; 88; 46.164965; 47.854444; 88; 47.854444;
12; 10; 80; 47.922431; 46.622493; 80; 47.922431;
12; 15; 76; 18.830254; 19.055508; 76; 19.055508;
12; 5; 64; 11.472947; 13.511726; 64; 13.511726;
12; 8; 60; 14.886488; 17.283359; 60; 17.283359;
12; 17; 55; 17.539447; 19.711780; 55; 19.711780;
12; 7; 46; 16.335555; 17.533307; 46; 17.533307;
12; 12; 40; 47.128149; 47.885726; 40; 47.885726;
12; 1; 39; 45.862947; 46.125784; 39; 46.125784;
12; 14; 35; 46.111536; 48.147172; 35; 46.435996;
12; 18; 34; 18.256382; 19.357962; 34; 18.256382;
12; 13; 34; 15.269662; 17.474671; 34; 15.269662;
12; 0; 33; 13.210569; 11.395423; 33; 13.210569;
12; 4; 32; 13.210569; 11.019257; 32; 13.210569;
12; 9; 9; 48.209361; 48.498065; 9; 48.209361;



13; 3; 97; 18.448203; 19.091891; 97; 19.091891;
13; 19; 95; 45.050383; 48.143409; 95; 48.143409;
13; 16; 94; 45.893346; 48.164724; 94; 48.164724;
13; 2; 94; 39.418516; 40.577706; 94; 40.577706;
13; 6; 90; 9.778776; 12.545666; 90; 12.545666;
13; 11; 88; 46.393239; 47.854444; 88; 47.854444;
13; 10; 80; 48.084343; 47.922431; 80; 48.084343;
13; 15; 76; 17.450396; 19.055508; 76; 19.055508;
13; 5; 64; 8.795256; 13.511726; 64; 13.511726;
13; 8; 60; 18.711784; 17.283359; 60; 18.711784;
13; 17; 55; 17.302946; 19.711780; 55; 19.711780;
13; 7; 46; 16.376948; 17.533307; 46; 17.533307;
13; 12; 40; 44.295756; 47.885726; 40; 47.885726;
13; 1; 39; 45.820353; 46.125784; 39; 46.125784;
13; 14; 35; 45.687570; 46.435996; 35; 46.435996;
13; 18; 34; 17.536681; 18.256382; 34; 18.256382;
13; 13; 34; 15.916868; 15.269662; 34; 15.916868;
13; 0; 33; 5.864393; 13.210569; 33; 13.210569;
13; 4; 32; 5.864393; 13.210569; 32; 10.720895;
13; 9; 9; 48.461492; 48.209361; 9; 48.461492;



14; 3; 97; 18.933370; 19.091891; 97; 19.091891;
14; 19; 95; 47.320621; 48.143409; 95; 48.143409;
14; 16; 94; 46.355806; 48.164724; 94; 48.164724;
14; 2; 94; 38.643910; 40.577706; 94; 40.577706;
14; 6; 90; 8.172710; 12.545666; 90; 12.545666;
14; 11; 88; 46.032366; 47.854444; 88; 47.854444;
14; 10; 80; 46.424084; 48.084343; 80; 48.084343;
14; 15; 76; 18.585348; 19.055508; 76; 19.055508;
14; 5; 64; 11.402129; 13.511726; 64; 13.511726;
14; 8; 60; 15.390541; 18.711784; 60; 18.711784;
14; 17; 55; 17.601594; 19.711780; 55; 19.711780;
14; 7; 46; 17.358094; 17.533307; 46; 17.533307;
14; 12; 40; 46.011755; 47.885726; 40; 47.885726;
14; 1; 39; 45.481608; 46.125784; 39; 46.125784;
14; 14; 35; 45.551016; 46.435996; 35; 46.435996;
14; 18; 34; 18.911797; 18.256382; 34; 18.911797;
14; 13; 34; 15.388258; 15.916868; 34; 15.916868;
14; 0; 33; 4.282336; 13.210569; 33; 13.210569;
14; 4; 32; 4.282336; 10.720895; 32; 9.936924;
14; 9; 9; 48.590048; 48.461492; 9; 48.590048;



15; 3; 97; 17.555657; 19.091891; 97; 19.091891;
15; 19; 95; 46.344878; 48.143409; 95; 48.143409;
15; 16; 94; 46.107003; 48.164724; 94; 48.164724;
15; 2; 94; 36.399720; 40.577706; 94; 40.577706;
15; 6; 90; 9.366009; 12.545666; 90; 12.545666;
15; 11; 88; 46.449953; 47.854444; 88; 47.854444;
15; 10; 80; 46.976188; 48.084343; 80; 48.084343;
15; 15; 76; 19.154758; 19.055508; 76; 19.154758;
15; 5; 64; 9.394559; 13.511726; 64; 13.511726;
15; 8; 60; 15.473069; 18.711784; 60; 18.711784;
15; 17; 55; 18.242275; 19.711780; 55; 19.711780;
15; 7; 46; 16.831432; 17.533307; 46; 17.533307;
15; 12; 40; 46.000608; 47.885726; 40; 47.885726;
15; 1; 39; 47.028397; 46.125784; 39; 47.028397;
15; 14; 35; 45.286701; 46.435996; 35; 46.435996;
15; 18; 34; 18.369008; 18.911797; 34; 18.911797;
15; 13; 34; 15.744804; 15.916868; 34; 15.916868;
15; 0; 33; 6.530207; 13.210569; 33; 13.210569;
15; 4; 32; 6.530207; 9.936924; 32; 8.661558;
15; 9; 9; 48.863551; 48.590048; 9; 48.863551;



16; 3; 97; 17.413895; 19.091891; 97; 19.091891;
16; 19; 95; 46.447387; 48.143409; 95; 48.143409;
16; 16; 94; 45.914892; 48.164724; 94; 48.164724;
16; 2; 94; 39.762794; 40.577706; 94; 40.577706;
16; 6; 90; 3.814575; 12.545666; 90; 12.545666;
16; 11; 88; 45.966172; 47.854444; 88; 47.854444;
16; 10; 80; 46.261321; 48.084343; 80; 48.084343;
16; 15; 76; 17.409820; 19.154758; 76; 19.154758;
16; 5; 64; 7.913949; 13.511726; 64; 13.511726;
16; 8; 60; 17.187739; 18.711784; 60; 18.711784;
16; 17; 55; 17.502122; 19.711780; 55; 19.711780;
16; 7; 46; 18.277346; 17.533307; 46; 18.277346;
