Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
11; 6; 55; 6.555161; 4.186816; 55; 6.555161;
11; 14; 52; 48.147172; 45.880645; 52; 48.147172;
11; 7; 48; 15.993300; 14.589363; 48; 15.993300;
11; 5; 46; 10.310214; 10.201951; 46; 10.310214;
11; 15; 36; 17.041343; 18.037996; 36; 17.041343;
11; 3; 30; 16.625064; 17.980495; 30; 16.625064;
11; 2; 30; 36.392839; 37.464381; 30; 36.392839;
11; 13; 26; 17.183274; 16.355117; 26; 17.183274;
11; 4; 19; 11.019257; 3.540586; 19; 11.019257;
11; 12; 19; 45.801404; 43.040051; 10; 45.801404;
11; 16; 19; 45.841202; 18.929635; 7; 45.841202;
11; 19; 15; 46.522807; 45.257076; 15; 46.522807;
11; 10; 15; 45.858723; 46.180806; 15; 45.858723;
11; 18; 13; 19.081739; 19.357962; 13; 19.081739;
11; 8; 12; 15.650672; 17.283359; 12; 15.650672;
11; 9; 11; 48.498065; 48.696746; 19; 36.814844;
11; 1; 9; 46.042504; 46.125784; 10; 7.674291;



12; 17; 92; 17.539447; 18.612993; 92; 17.539447;
12; 0; 72; 13.210569; 11.019257; 72; 13.210569;
12; 11; 61; 46.164965; 47.854444; 61; 46.164965;
12; 6; 55; 8.331456; 6.555161; 55; 8.331456;
12; 14; 52; 46.111536; 48.147172; 52; 46.111536;
12; 7; 48; 16.335555; 15.993300; 48; 16.335555;
12; 5; 46; 11.472947; 10.310214; 46; 11.472947;
12; 15; 36; 18.830254; 17.041343; 36; 18.830254;
12; 3; 30; 19.091891; 16.625064; 30; 19.091891;
12; 2; 30; 39.336124; 36.392839; 30; 39.336124;
12; 13; 26; 15.269662; 17.183274; 26; 15.269662;
12; 4; 19; 13.210569; 11.019257; 19; 13.210569;
12; 9; 19; 48.209361; 36.814844; 11; 48.209361;
12; 10; 15; 47.922431; 45.858723; 15; 47.922431;
12; 19; 15; 45.420597; 46.522807; 15; 45.420597;
12; 18; 13; 18.256382; 19.081739; 13; 18.256382;
12; 8; 12; 14.886488; 15.650672; 12; 14.886488;
12; 12; 10; 47.128149; 45.801404; 10; 47.128149;
12; 1; 10; 45.862947; 7.674291; 21; 21.650147;
12; 16; 7; 46.653203; 45.841202; 8; 11.621470;



13; 17; 92; 17.302946; 17.539447; 92; 17.302946;
13; 0; 72; 5.864393; 13.210569; 72; 5.864393;
13; 11; 61; 46.393239; 46.164965; 61; 46.393239;
13; 6; 55; 9.778776; 8.331456; 55; 9.778776;
13; 14; 52; 45.687570; 46.111536; 52; 45.687570;
13; 7; 48; 16.376948; 16.335555; 48; 16.376948;
13; 5; 46; 8.795256; 11.472947; 46; 8.795256;
13; 15; 36; 17.450396; 18.830254; 36; 17.450396;
13; 3; 30; 18.448203; 19.091891; 30; 18.448203;
13; 2; 30; 39.418516; 39.336124; 30; 39.418516;
13; 13; 26; 15.916868; 15.269662; 26; 15.916868;
13; 1; 21; 45.820353; 21.650147; 9; 45.820353;
13; 4; 19; 5.864393; 13.210569; 19; 5.864393;
13; 19; 15; 45.050383; 45.420597; 15; 45.050383;
13; 10; 15; 48.084343; 47.922431; 15; 48.084343;
13; 18; 13; 17.536681; 18.256382; 13; 17.536681;
13; 8; 12; 18.711784; 14.886488; 12; 18.711784;
13; 9; 11; 48.461492; 48.209361; 11; 48.461492;
13; 12; 10; 44.295756; 47.128149; 17; 31.065403;
13; 16; 8; 45.893346; 11.621470; 15; 17.972057;



14; 17; 92; 17.601594; 17.302946; 92; 17.601594;
14; 0; 72; 4.282336; 5.864393; 72; 4.282336;
14; 11; 61; 46.032366; 46.393239; 61; 46.032366;
14; 6; 55; 8.172710; 9.778776; 55; 8.172710;
14; 14; 52; 45.551016; 45.687570; 52; 45.551016;
14; 7; 48; 17.358094; 16.376948; 48; 17.358094;
14; 5; 46; 11.402129; 8.795256; 46; 11.402129;
14; 15; 36; 18.585348; 17.450396; 36; 18.585348;
14; 3; 30; 18.933370; 18.448203; 30; 18.933370;
14; 2; 30; 38.643910; 39.418516; 30; 38.643910;
14; 13; 26; 15.388258; 15.916868; 26; 15.388258;
14; 4; 19; 4.282336; 5.864393; 19; 4.282336;
